POPULATION_PER_MILLION,Total_population_SUMMARY_INDICATORS_Median_age_(decades),Total_population_SUMMARY_INDICATORS_Sex_ratio_(males_per_1_females),Estimate_Percent_Total_population_15_to_44_years,Estimate_Percent_Total_population_60_years_and_over,MEDIAN_INCOME_PER_100k,RATIO_OF_NON-FAMILY_TO_FAMILY_HOUSEHOLDS,RATIO_OF_WOKERS_TO_PEOPLE_(OVER_16),Workers_16_years_and_over_Public_transportation_(excluding_taxicab),Workers_16_years_and_over_Walked,Workers_16_years_and_over_Bicycle,"Workers_16_years_and_over_Taxicab,_motorcycle,_or_other_means",Workers_16_years_and_over_Worked_in_county_of_residence,Workers_16_years_and_over_Mean_travel_time_to_work_(tens_of_minutes)
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
2.693959,3.52,0.949,0.468,0.188,0.61811,0.932037255,0.617822873,0.284,0.066,0.015,2,0.934,3.53
